"id_uc";"ano";"total_desmat"
34;2011;14891,858999999999
6;2014;15550,979999999978
11;2015;19350,778
12;2011;14891,858999999999
14;2017;29523,851000000017
13;2008;6047,226999999999
5;2013;17303,02899999999
23;2010;7631,897000000001
31;2022;52429,266999999985
3;2018;24077,27100000001
21;2013;17303,02899999999
37;2011;14891,858999999999
22;2009;2715,5170000000016
55;2011;14891,858999999999
25;2012;6501,219
41;2012;6501,219
23;2013;17303,02899999999
10;2015;19350,778
29;2013;17303,02899999999
19;2013;17303,02899999999
55;2021;44493,15199999993
6;2022;52429,266999999985
57;2009;2715,5170000000016
34;2016;23661,162
9;2017;29523,851000000017
43;2022;52429,266999999985
57;2019;32364,22999999999
16;2012;6501,219
15;2012;6501,219
14;2009;2715,5170000000016
43;2021;44493,15199999993
4;2021;44493,15199999993
5;2008;6047,226999999999
8;2015;19350,778
41;2008;6047,226999999999
13;2009;2715,5170000000016
55;2020;34286,28700000002
14;2016;23661,162
37;2019;32364,22999999999
6;2018;24077,27100000001
40;2018;24077,27100000001
35;2013;17303,02899999999
6;2012;6501,219
3;2008;6047,226999999999
11;2013;17303,02899999999
4;2016;23661,162
27;2010;7631,897000000001
1;2010;7631,897000000001
5;2011;14891,858999999999
42;2015;19350,778
2;2019;32364,22999999999
42;2009;2715,5170000000016
32;2021;44493,15199999993
13;2013;17303,02899999999
10;2010;7631,897000000001
29;2022;52429,266999999985
4;2011;14891,858999999999
26;2013;17303,02899999999
39;2012;6501,219
19;2012;6501,219
40;2016;23661,162
39;2014;15550,979999999978
39;2016;23661,162
28;2014;15550,979999999978
26;2010;7631,897000000001
38;2012;6501,219
23;2018;24077,27100000001
32;2015;19350,778
39;2009;2715,5170000000016
1;2009;2715,5170000000016
44;2012;6501,219
3;2014;15550,979999999978
35;2010;7631,897000000001
20;2019;32364,22999999999
18;2018;24077,27100000001
54;2019;32364,22999999999
2;2014;15550,979999999978
18;2008;6047,226999999999
57;2013;17303,02899999999
8;2014;15550,979999999978
3;2021;44493,15199999993
23;2020;34286,28700000002
42;2019;32364,22999999999
18;2009;2715,5170000000016
9;2018;24077,27100000001
30;2016;23661,162
10;2016;23661,162
5;2021;44493,15199999993
24;2009;2715,5170000000016
38;2021;44493,15199999993
45;2011;14891,858999999999
28;2015;19350,778
19;2020;34286,28700000002
45;2017;29523,851000000017
36;2017;29523,851000000017
35;2022;52429,266999999985
26;2016;23661,162
21;2022;52429,266999999985
20;2012;6501,219
24;2022;52429,266999999985
18;2015;19350,778
21;2021;44493,15199999993
6;2016;23661,162
54;2017;29523,851000000017
22;2014;15550,979999999978
8;2017;29523,851000000017
44;2011;14891,858999999999
21;2011;14891,858999999999
13;2011;14891,858999999999
8;2016;23661,162
26;2015;19350,778
36;2020;34286,28700000002
7;2013;17303,02899999999
55;2015;19350,778
35;2011;14891,858999999999
44;2020;34286,28700000002
24;2019;32364,22999999999
31;2020;34286,28700000002
19;2021;44493,15199999993
18;2011;14891,858999999999
15;2011;14891,858999999999
32;2016;23661,162
22;2011;14891,858999999999
34;2009;2715,5170000000016
20;2009;2715,5170000000016
55;2022;52429,266999999985
56;2013;17303,02899999999
15;2009;2715,5170000000016
38;2009;2715,5170000000016
27;2019;32364,22999999999
10;2012;6501,219
35;2009;2715,5170000000016
33;2008;6047,226999999999
1;2019;32364,22999999999
9;2016;23661,162
41;2009;2715,5170000000016
32;2013;17303,02899999999
36;2011;14891,858999999999
41;2017;29523,851000000017
16;2015;19350,778
6;2009;2715,5170000000016
44;2009;2715,5170000000016
33;2022;52429,266999999985
26;2019;32364,22999999999
27;2012;6501,219
17;2009;2715,5170000000016
37;2014;15550,979999999978
35;2021;44493,15199999993
29;2020;34286,28700000002
23;2015;19350,778
54;2018;24077,27100000001
20;2013;17303,02899999999
12;2010;7631,897000000001
27;2008;6047,226999999999
18;2017;29523,851000000017
18;2022;52429,266999999985
30;2008;6047,226999999999
28;2021;44493,15199999993
12;2009;2715,5170000000016
23;2012;6501,219
22;2020;34286,28700000002
27;2016;23661,162
1;2011;14891,858999999999
42;2021;44493,15199999993
17;2020;34286,28700000002
11;2020;34286,28700000002
25;2016;23661,162
31;2011;14891,858999999999
8;2021;44493,15199999993
10;2021;44493,15199999993
54;2015;19350,778
6;2010;7631,897000000001
8;2012;6501,219
14;2015;19350,778
28;2012;6501,219
18;2016;23661,162
32;2009;2715,5170000000016
7;2012;6501,219
32;2008;6047,226999999999
31;2012;6501,219
21;2015;19350,778
19;2011;14891,858999999999
39;2013;17303,02899999999
26;2018;24077,27100000001
17;2014;15550,979999999978
3;2010;7631,897000000001
10;2013;17303,02899999999
29;2011;14891,858999999999
30;2009;2715,5170000000016
11;2022;52429,266999999985
41;2011;14891,858999999999
8;2020;34286,28700000002
42;2018;24077,27100000001
2;2022;52429,266999999985
28;2009;2715,5170000000016
11;2016;23661,162
41;2014;15550,979999999978
25;2013;17303,02899999999
4;2020;34286,28700000002
43;2019;32364,22999999999
37;2010;7631,897000000001
34;2008;6047,226999999999
24;2010;7631,897000000001
13;2018;24077,27100000001
43;2009;2715,5170000000016
28;2010;7631,897000000001
3;2012;6501,219
2;2012;6501,219
57;2018;24077,27100000001
44;2017;29523,851000000017
6;2015;19350,778
36;2016;23661,162
22;2015;19350,778
21;2018;24077,27100000001
16;2017;29523,851000000017
11;2014;15550,979999999978
9;2009;2715,5170000000016
9;2021;44493,15199999993
25;2011;14891,858999999999
45;2022;52429,266999999985
23;2008;6047,226999999999
12;2016;23661,162
18;2010;7631,897000000001
3;2015;19350,778
6;2019;32364,22999999999
20;2015;19350,778
17;2013;17303,02899999999
27;2013;17303,02899999999
2;2015;19350,778
39;2022;52429,266999999985
3;2017;29523,851000000017
45;2010;7631,897000000001
41;2021;44493,15199999993
54;2013;17303,02899999999
26;2020;34286,28700000002
20;2017;29523,851000000017
16;2019;32364,22999999999
41;2022;52429,266999999985
5;2022;52429,266999999985
40;2021;44493,15199999993
31;2018;24077,27100000001
40;2013;17303,02899999999
42;2012;6501,219
44;2021;44493,15199999993
35;2014;15550,979999999978
40;2009;2715,5170000000016
37;2017;29523,851000000017
16;2009;2715,5170000000016
54;2010;7631,897000000001
